658,478,614
670,617,759
652,614,796
657,636,792
654,624,802
658,645,831
642,642,895
644,638,927
616,627,943
650,625,896
629,605,882
562,630,1023
652,580,947
649,552,938
661,561,893
667,567,903
664,562,898
663,560,886
660,565,873
658,572,842
663,580,806
668,588,762
670,592,725
674,599,682
679,617,648
685,634,622
689,652,604
689,683,600
687,729,617
676,769,630
667,810,642
656,855,644
645,897,655
638,925,696
618,922,777
618,909,886
612,902,992
596,858,1023
576,786,1023
553,730,1023
549,651,1023
535,588,1023
531,530,1023
527,443,1023
512,310,1023
487,228,1023
467,203,1023
458,207,1023
459,161,1023
420,145,1013
