583,637,825
667,649,771
681,658,822
676,646,831
683,659,817
693,673,823
693,684,859
723,693,892
679,696,1023
673,610,1023
689,593,1023
607,566,1023
620,618,1023
571,623,1023
527,624,1023
482,590,1023
451,591,924
447,585,703
456,583,536
481,637,391
467,634,251
493,608,87
504,557,9
550,537,4
570,563,3
587,568,4
566,587,8
558,614,31
545,645,186
526,672,357
503,711,562
497,730,801
447,741,1023
458,741,1023
443,718,1023
459,657,1023
515,667,1023
547,711,1023
562,722,1023
553,708,1023
530,676,1023
524,651,1023
524,642,926
524,614,810
521,557,712
535,541,592
548,549,457
552,526,300
607,518,117
638,516,20
