559,604,843
644,611,754
647,632,778
647,631,779
653,626,750
659,630,739
652,641,767
647,654,841
632,666,972
612,681,1023
620,676,1023
606,663,1023
644,669,1023
553,634,1023
567,665,1023
538,664,1023
516,664,1023
499,675,1023
496,638,980
484,588,845
477,546,648
498,529,398
539,525,191
575,511,33
595,491,6
607,501,3
608,517,2
571,533,2
525,581,5
468,640,43
423,701,230
384,717,349
356,692,535
332,734,840
325,742,1023
329,750,1023
345,711,1023
366,693,1023
393,659,1023
411,645,1023
409,665,1023
395,656,1023
393,625,1023
408,606,1023
427,606,877
450,604,671
489,581,454
530,546,211
575,503,19
591,468,3
