622,553,751
666,638,715
674,619,691
671,626,682
666,634,689
655,666,796
610,704,955
564,755,1023
607,750,1023
558,689,1023
497,703,1023
506,753,1023
503,800,1023
481,796,1023
465,779,1023
458,738,1023
462,688,902
431,634,721
396,570,422
433,504,86
524,480,4
596,475,1
617,418,1
601,375,0
573,414,2
531,470,7
485,537,59
443,614,212
401,702,363
356,772,573
295,828,882
248,900,1023
233,990,1023
233,997,1023
260,934,1023
282,879,1023
329,763,1023
323,821,1023
304,716,1023
319,718,1023
344,722,1023
369,703,842
393,649,696
455,646,508
506,593,359
550,513,176
581,438,15
650,395,2
692,372,1
688,384,1
