406,104,125,215,0
500,115,107,320,1
78,80,108,100,2
214,146,72,110,3
441,115,106,213,0
320,129,115,225,0
482,123,100,236,0
411,123,112,243,0
433,100,97,237,0
381,155,80,226,0
404,129,125,217,0
453,127,114,246,0
360,187,676,192,1
332,185,122,180,1
456,116,131,187,1
496,188,121,201,1
205,135,63,246,1
180,156,110,133,1
317,169,115,218,1
450,164,134,205,1
265,506,143,192,1
256,147,120,216,1
306,180,129,230,1
308,115,116,108,2
107,161,77,140,2
403,177,115,113,2
140,165,135,141,2
868,144,66,777,2
128,82,111,106,2
121,121,130,562,2
106,125,113,679,2
120,159,116,177,2
231,633,856,236,3
231,303,100,235,3
218,407,65,222,3
234,191,113,228,3
189,120,126,239,3
220,252,793,236,3
253,268,784,241,3
265,157,573,244,3
239,341,95,236,3
257,186,95,246,3
838,299,154,235,3
860,104,94,165,2
118,112,101,160,2
215,225,137,233,1
472,103,116,236,1
296,140,104,289,0
