723,666,649
714,733,685
673,751,774
674,762,775
657,747,798
637,721,850
603,677,930
619,604,1023
549,532,1023
553,351,1023
534,274,1023
520,304,1023
544,369,1023
529,362,1023
542,431,1023
539,483,1000
546,501,911
557,564,827
576,619,714
579,669,546
598,891,386
645,1023,199
731,1023,26
761,1023,9
798,1023,8
761,1023,27
704,1023,153
624,1023,270
545,1023,379
474,1015,491
406,968,565
289,899,696
186,716,878
88,141,1023
46,0,1023
61,0,1023
119,0,1023
161,2,1023
171,2,1023
169,3,1023
160,16,1023
167,107,1023
246,331,785
274,499,637
346,731,460
440,949,215
579,1023,17
685,1023,5
727,1023,5
761,1023,8
