614,608,735
663,701,702
663,694,746
642,675,781
613,644,870
570,578,1012
493,513,1023
509,424,1023
463,391,1023
524,382,1023
515,369,1023
509,357,1023
514,399,1023
512,462,998
523,514,904
543,541,808
544,558,700
554,649,588
591,852,444
620,1011,272
707,1023,117
765,1023,20
788,1023,9
772,1023,13
723,1023,95
670,1023,230
591,1023,344
526,1023,435
462,984,515
372,909,611
248,775,840
120,321,1023
55,0,1023
55,0,1023
149,0,1023
194,2,1023
200,4,1023
213,7,1023
211,20,1023
231,165,1023
294,290,757
373,601,470
451,845,211
541,1023,29
670,1023,7
744,1023,5
762,1023,8
768,1023,76
755,1023,236
701,1023,255
