520,658,920
663,659,839
663,680,862
658,681,843
653,654,842
641,627,874
624,586,932
599,523,1023
552,467,1023
531,415,1023
527,371,1023
544,354,1023
528,378,1023
541,444,999
540,480,939
545,487,857
551,541,775
563,642,658
585,718,505
601,902,357
644,1023,203
734,1023,41
771,1023,12
788,1023,7
767,1023,12
702,1023,140
634,1023,305
574,1023,415
518,1000,452
470,964,503
374,927,628
239,775,864
98,327,1023
40,0,1023
59,0,1023
152,0,1023
201,4,1023
209,7,1023
205,9,1023
179,22,1023
231,179,939
288,418,691
366,677,448
467,958,167
609,1023,13
726,1023,6
785,1023,5
793,1023,9
771,1023,80
723,1023,185
