429,793,776
443,817,700
469,922,717
603,1023,633
723,1023,585
916,988,527
1023,877,446
1023,864,412
1023,736,409
1023,679,441
1023,533,456
1023,422,493
1023,368,505
1023,348,512
1023,410,507
1023,429,529
1023,456,525
967,455,539
891,427,536
822,423,539
774,403,553
710,392,568
650,429,589
605,454,630
576,481,636
552,472,650
556,462,651
568,478,650
578,489,657
576,484,644
564,533,657
546,562,674
545,581,673
547,624,671
546,637,672
567,677,667
606,720,636
630,785,636
637,851,665
662,900,659
668,884,664
688,851,630
685,851,627
706,865,606
758,884,591
827,926,597
929,951,612
1023,993,618
1023,949,613
1023,871,579
