813,634,528
613,746,707
620,830,685
676,949,724
756,881,673
733,961,659
723,971,632
778,945,569
899,905,534
1014,821,492
1023,759,459
1023,653,427
1023,591,407
1023,493,371
1023,420,364
1023,243,303
1023,49,372
1023,32,375
1023,48,403
1023,143,418
1023,234,426
932,247,410
822,264,402
703,343,386
581,348,415
416,435,463
285,552,551
287,634,600
259,651,727
293,727,643
288,689,667
290,738,656
306,786,646
250,835,654
369,922,630
465,892,604
561,966,571
675,1009,587
749,969,596
850,951,582
946,918,568
1014,863,552
1023,734,548
1023,635,527
1023,614,511
1023,543,532
1023,514,558
1023,514,583
1023,530,591
965,567,597
